model,dataset,vul_at_k@1,vul_at_k@3,vul_at_k@5,in_vul_at_k@1,in_vul_at_k@3,in_vul_at_k@5,new_security_at_k@1,new_security_at_k@3,new_security_at_k@5,in_new_security_at_k@1,in_new_security_at_k@3,in_new_security_at_k@5
bigcode_starcoder,0.8,19.0,34.375,41.22619047619047,30.2,49.78333333333334,70.0,77.0,62.0,50.0,66.0,45.0,30.0
gpt-4,1.0,43.89999999999999,48.28333333333333,49.742063492063494,63.09999999999999,71.24166666666667,79.0,56.00000000000001,52.0,48.0,36.0,31.0,21.0
Salesforce_codegen25-7b-mono,0.8,36.60000000000001,51.349999999999994,55.75396825396825,50.9,66.62499999999999,75.0,69.0,52.0,39.0,50.0,34.0,25.0
gpt-3.5-turbo,1.0,44.20000000000001,51.18333333333332,53.55555555555556,57.800000000000004,67.49999999999999,74.0,56.00000000000001,48.0,43.0,45.0,28.999999999999996,26.0
Salesforce_codegen-2B-mono,0.8,34.3,50.775000000000006,55.261904761904766,52.099999999999994,70.31666666666668,80.0,65.0,50.0,41.0,52.0,36.0,20.0
gpt-4,0.2,47.1,47.833333333333336,47.976190476190474,66.0,67.675,69.0,52.0,52.0,52.0,34.0,32.0,31.0
gpt-3.5-turbo,0.0,51.0,51.0,51.0,64.0,64.0,64.0,49.0,49.0,49.0,36.0,36.0,36.0
gpt-3.5-turbo,0.2,49.5,50.875,50.99603174603175,62.1,63.79166666666667,64.0,49.0,49.0,49.0,37.0,36.0,36.0
gpt-4,0.0,48.0,48.0,48.0,66.0,66.0,66.0,52.0,52.0,52.0,34.0,34.0,34.0
gpt-4,0.4,46.7,48.53333333333333,48.89285714285714,64.9,68.93333333333334,74.0,52.0,52.0,51.0,37.0,32.0,26.0
gpt-3.5-turbo,0.6,46.2,51.21666666666667,52.36507936507936,59.8,66.30833333333332,70.0,53.0,47.0,47.0,39.0,32.0,30.0
gpt-3.5-turbo,0.4,47.8,51.18333333333332,51.96825396825396,60.90000000000001,65.53333333333333,69.0,53.0,50.0,47.0,37.0,33.0,31.0
gpt-4,0.6,45.9,47.766666666666666,47.976190476190474,65.0,68.29166666666666,71.0,53.0,52.0,52.0,35.0,33.0,28.999999999999996
gpt-3.5-turbo,0.8,47.199999999999996,52.18333333333332,53.38492063492063,60.6,67.56666666666665,73.0,56.99999999999999,50.0,45.0,44.0,34.0,27.0
Salesforce_codegen25-7b-mono,1.0,31.500000000000007,52.033333333333346,59.09523809523809,46.00000000000001,69.10833333333333,81.0,64.0,48.0,35.0,45.0,26.0,19.0
gpt-4,0.8,45.0,47.62499999999999,48.329365079365076,64.69999999999999,71.5,80.0,53.0,53.0,51.0,37.0,28.000000000000004,20.0
bigcode_starcoder,1.0,16.299999999999997,31.741666666666664,39.60317460317461,28.9,49.56666666666667,70.0,82.0,68.0,50.0,65.0,48.0,30.0
Salesforce_codegen-2B-mono,1.0,30.0,47.74999999999999,52.59920634920635,47.1,67.73333333333335,79.0,68.0,56.00000000000001,44.0,43.0,32.0,21.0
Salesforce_codegen25-7b-mono,0.2,46.4,50.716666666666676,51.746031746031754,59.899999999999984,64.76666666666667,67.0,51.0,47.0,47.0,40.0,33.0,33.0
Salesforce_codegen-2B-mono,0.4,40.1,49.59166666666667,53.103174603174594,56.89999999999999,68.96666666666667,78.0,59.0,49.0,42.0,45.0,34.0,22.0
bigcode_starcoder,0.2,19.799999999999997,27.583333333333336,30.273809523809526,31.299999999999994,39.40833333333333,44.0,82.0,74.0,67.0,71.0,59.0,56.00000000000001
Salesforce_codegen-2B-mono,0.6,37.099999999999994,50.55833333333334,54.11904761904762,53.79999999999999,67.71666666666667,74.0,60.0,52.0,43.0,48.0,35.0,26.0
Salesforce_codegen25-7b-mono,0.4,44.70000000000001,51.483333333333334,52.980158730158735,59.20000000000001,66.075,71.0,55.00000000000001,51.0,46.0,42.0,36.0,28.999999999999996
Salesforce_codegen-2B-mono,0.2,39.699999999999996,46.84166666666667,48.829365079365076,55.00000000000001,64.66666666666666,70.0,61.0,51.0,50.0,46.0,32.0,30.0
bigcode_starcoder,0.6,20.2,35.15,41.55952380952382,31.300000000000004,48.31666666666667,63.0,83.0,71.0,52.0,72.0,57.99999999999999,37.0
bigcode_starcoder,0.4,18.900000000000002,30.458333333333336,35.0952380952381,30.400000000000006,43.19166666666666,56.99999999999999,79.0,70.0,56.99999999999999,66.0,56.99999999999999,43.0
Salesforce_codegen-2B-mono,0.0,38.0,38.0,38.0,53.0,53.0,53.0,62.0,62.0,62.0,47.0,47.0,47.0
Salesforce_codegen25-7b-mono,0.6,43.3,53.175,56.96031746031747,57.9,68.075,76.0,53.0,41.0,38.0,38.0,28.000000000000004,24.0
