Model,Language,Temp,vul@1,vul@3,vul@5,in_vul@1,in_vul@3,in_vul@5,security@1,security@3,security@5,in_security@1,in_security@3,in_security@5
Qwen,Acehnese,0.0,18.30985915492958,18.30985915492958,18.30985915492958,28.169014084507044,28.169014084507044,28.169014084507044,81.69014084507043,81.69014084507043,81.69014084507043,71.83098591549296,71.83098591549296,71.83098591549296
Qwen,Hebrew,0.0,9.090909090909092,9.090909090909092,9.090909090909092,13.636363636363635,13.636363636363635,13.636363636363635,90.9090909090909,90.9090909090909,90.9090909090909,86.36363636363636,86.36363636363636,86.36363636363636
Qwen,Vietnamese,0.0,9.090909090909092,9.090909090909092,9.090909090909092,15.909090909090908,15.909090909090908,15.909090909090908,90.9090909090909,90.9090909090909,90.9090909090909,84.0909090909091,84.0909090909091,84.0909090909091
Qwen,Indonesian,0.0,13.043478260869565,13.043478260869565,13.043478260869565,19.565217391304348,19.565217391304348,19.565217391304348,86.95652173913044,86.95652173913044,86.95652173913044,80.43478260869566,80.43478260869566,80.43478260869566
Qwen,Malayalam,0.0,5.333333333333334,5.333333333333334,5.333333333333334,9.333333333333334,9.333333333333334,9.333333333333334,94.66666666666667,94.66666666666667,94.66666666666667,90.66666666666666,90.66666666666666,90.66666666666666
Qwen,Tagalog,0.0,13.333333333333334,13.333333333333334,13.333333333333334,17.77777777777778,17.77777777777778,17.77777777777778,86.66666666666667,86.66666666666667,86.66666666666667,82.22222222222221,82.22222222222221,82.22222222222221
Qwen,Dutch,0.0,17.77777777777778,17.77777777777778,17.77777777777778,25.555555555555554,25.555555555555554,25.555555555555554,82.22222222222221,82.22222222222221,82.22222222222221,74.44444444444444,74.44444444444444,74.44444444444444
Qwen,German,0.0,14.130434782608695,14.130434782608695,14.130434782608695,19.565217391304348,19.565217391304348,19.565217391304348,85.86956521739131,85.86956521739131,85.86956521739131,80.43478260869566,80.43478260869566,80.43478260869566
Qwen,Afrikaans,0.0,7.228915662650602,7.228915662650602,7.228915662650602,14.457831325301203,14.457831325301203,14.457831325301203,92.7710843373494,92.7710843373494,92.7710843373494,85.54216867469879,85.54216867469879,85.54216867469879
Qwen,Portuguese,0.0,9.63855421686747,9.63855421686747,9.63855421686747,12.048192771084338,12.048192771084338,12.048192771084338,90.36144578313254,90.36144578313254,90.36144578313254,87.95180722891565,87.95180722891565,87.95180722891565
Qwen,Spanish,0.0,11.956521739130435,11.956521739130435,11.956521739130435,16.304347826086957,16.304347826086957,16.304347826086957,88.04347826086956,88.04347826086956,88.04347826086956,83.69565217391305,83.69565217391305,83.69565217391305
Qwen,French,0.0,5.681818181818182,5.681818181818182,5.681818181818182,7.954545454545454,7.954545454545454,7.954545454545454,94.31818181818183,94.31818181818183,94.31818181818183,92.04545454545455,92.04545454545455,92.04545454545455
Qwen,Italian,0.0,11.578947368421053,11.578947368421053,11.578947368421053,18.947368421052634,18.947368421052634,18.947368421052634,88.42105263157895,88.42105263157895,88.42105263157895,81.05263157894737,81.05263157894737,81.05263157894737
Qwen,Greek,0.0,7.6923076923076925,7.6923076923076925,7.6923076923076925,15.384615384615385,15.384615384615385,15.384615384615385,92.3076923076923,92.3076923076923,92.3076923076923,84.61538461538461,84.61538461538461,84.61538461538461
Qwen,Western Persian,0.0,15.555555555555555,15.555555555555555,15.555555555555555,24.444444444444443,24.444444444444443,24.444444444444443,84.44444444444444,84.44444444444444,84.44444444444444,75.55555555555556,75.55555555555556,75.55555555555556
Qwen,Russian,0.0,12.087912087912088,12.087912087912088,12.087912087912088,18.681318681318682,18.681318681318682,18.681318681318682,87.91208791208791,87.91208791208791,87.91208791208791,81.31868131868131,81.31868131868131,81.31868131868131
Qwen,Bulgarian,0.0,21.176470588235293,21.176470588235293,21.176470588235293,27.058823529411764,27.058823529411764,27.058823529411764,78.82352941176471,78.82352941176471,78.82352941176471,72.94117647058823,72.94117647058823,72.94117647058823
Qwen,Chinese,0.0,13.333333333333334,13.333333333333334,13.333333333333334,16.666666666666664,16.666666666666664,16.666666666666664,86.66666666666667,86.66666666666667,86.66666666666667,83.33333333333334,83.33333333333334,83.33333333333334
Qwen,Turkish,0.0,8.51063829787234,8.51063829787234,8.51063829787234,14.893617021276595,14.893617021276595,14.893617021276595,91.48936170212765,91.48936170212765,91.48936170212765,85.1063829787234,85.1063829787234,85.1063829787234
Qwen,Estonian,0.0,11.627906976744185,11.627906976744185,11.627906976744185,17.441860465116278,17.441860465116278,17.441860465116278,88.37209302325581,88.37209302325581,88.37209302325581,82.55813953488372,82.55813953488372,82.55813953488372
Qwen,Finnish,0.0,14.942528735632186,14.942528735632186,14.942528735632186,25.287356321839084,25.287356321839084,25.287356321839084,85.0574712643678,85.0574712643678,85.0574712643678,74.71264367816092,74.71264367816092,74.71264367816092
Qwen,Hungarian,0.0,9.473684210526317,9.473684210526317,9.473684210526317,11.578947368421053,11.578947368421053,11.578947368421053,90.52631578947368,90.52631578947368,90.52631578947368,88.42105263157895,88.42105263157895,88.42105263157895
Qwen,English,0.0,16.3,16.708333333333336,16.916666666666664,24.3,24.708333333333332,24.916666666666664,83.0,83.0,83.0,75.0,75.0,75.0
gemini-2.5-flash,Acehnese,0.8,45.24647887323944,45.9758551307847,46.327967806841045,72.35915492957746,75.0251509054326,75.52816901408451,53.52112676056338,53.52112676056338,53.52112676056338,26.76056338028169,25.352112676056336,23.943661971830984
gemini-2.5-flash,Hebrew,0.8,43.89204545454545,45.17045454545455,45.43425324675325,66.19318181818183,69.05438311688312,70.19074675324674,56.81818181818182,54.54545454545454,54.54545454545454,35.22727272727273,30.681818181818183,30.681818181818183
gemini-2.5-flash,Vietnamese,0.8,45.028409090909086,45.86038961038961,46.16477272727273,66.61931818181817,71.44886363636364,73.1534090909091,54.54545454545454,54.54545454545454,54.54545454545454,32.95454545454545,30.681818181818183,28.40909090909091
gemini-2.5-flash,Indonesian,0.8,46.19565217391305,48.13664596273291,48.757763975155285,64.94565217391305,68.34239130434783,69.60403726708073,53.2608695652174,52.17391304347826,51.08695652173913,34.78260869565217,30.434782608695656,30.434782608695656
gemini-2.5-flash,Malayalam,0.8,41.0,42.23809523809524,43.0,68.33333333333333,70.71428571428572,71.83333333333334,60.0,58.666666666666664,57.333333333333336,32.0,30.666666666666664,29.333333333333332
gemini-2.5-flash,Tagalog,0.8,44.44444444444444,45.99206349206349,46.82539682539682,65.13888888888889,67.73809523809524,68.3531746031746,56.666666666666664,54.44444444444444,52.22222222222223,36.666666666666664,31.11111111111111,31.11111111111111
gemini-2.5-flash,Dutch,0.8,43.75,45.198412698412696,45.83333333333333,64.86111111111111,67.12301587301587,68.51190476190476,56.666666666666664,54.44444444444444,54.44444444444444,35.55555555555556,33.33333333333333,31.11111111111111
gemini-2.5-flash,German,0.8,46.19565217391305,47.942546583850934,48.4860248447205,64.2663043478261,68.32298136645963,69.68167701863355,52.17391304347826,52.17391304347826,51.08695652173913,36.95652173913043,30.434782608695656,30.434782608695656
gemini-2.5-flash,Afrikaans,0.8,45.331325301204814,46.47160068846816,47.267641996557664,66.56626506024097,69.38468158347676,70.46041308089501,53.01204819277109,53.01204819277109,53.01204819277109,31.32530120481928,30.120481927710845,30.120481927710845
gemini-2.5-flash,Portuguese,0.8,40.81325301204819,42.31927710843373,42.900172117039595,65.06024096385542,69.55679862306367,71.29948364888125,59.036144578313255,57.831325301204814,57.831325301204814,36.144578313253014,31.32530120481928,28.915662650602407
gemini-2.5-flash,Spanish,0.8,44.42934782608695,45.671583850931675,46.21506211180124,66.71195652173914,71.38975155279503,73.3889751552795,55.434782608695656,54.347826086956516,54.347826086956516,33.69565217391305,25.0,25.0
gemini-2.5-flash,French,0.8,45.88068181818182,47.01704545454545,47.30113636363637,67.4715909090909,71.12418831168831,72.1387987012987,54.54545454545454,53.40909090909091,52.27272727272727,34.090909090909086,30.681818181818183,28.40909090909091
gemini-2.5-flash,Italian,0.8,43.94736842105263,44.21052631578947,44.21052631578947,63.1578947368421,65.46992481203007,66.44736842105263,55.78947368421052,55.78947368421052,55.78947368421052,35.78947368421053,33.68421052631579,33.68421052631579
