Model,Temp,Language,Total,Compilable_before,Compilable_after,Compilable_before (%),Compilable_after (%)
gemini-2.5-flash,0.0,Afrikaans,992,910,514,91.73387096774194,51.81451612903226
gemini-2.5-flash,0.0,Arabic,979,921,522,94.0755873340143,53.3197139938713
gemini-2.5-flash,0.0,Bulgarian,992,914,525,92.13709677419355,52.923387096774185
gemini-2.5-flash,0.0,Chinese,992,866,504,87.29838709677419,50.806451612903224
gemini-2.5-flash,0.0,Dutch,988,898,476,90.89068825910931,48.178137651821864
gemini-2.5-flash,0.0,English,998,911,490,91.28256513026052,49.09819639278557
gemini-2.5-flash,0.0,Estonian,992,939,522,94.65725806451613,52.62096774193549
gemini-2.5-flash,0.0,Finnish,992,903,518,91.02822580645162,52.21774193548387
gemini-2.5-flash,0.0,French,991,904,463,91.2209889001009,46.7204843592331
gemini-2.5-flash,0.0,German,984,913,496,92.78455284552845,50.40650406504065
gemini-2.5-flash,0.0,Greek,992,960,556,96.7741935483871,56.048387096774185
gemini-2.5-flash,0.0,Hebrew,984,893,513,90.7520325203252,52.13414634146341
gemini-2.5-flash,0.0,Hungarian,978,890,486,91.00204498977506,49.693251533742334
gemini-2.5-flash,0.0,Indonesian,992,934,496,94.15322580645162,50.0
gemini-2.5-flash,0.0,Italian,992,951,493,95.86693548387096,49.69758064516129
gemini-2.5-flash,0.0,Malay,992,935,476,94.25403225806451,47.983870967741936
gemini-2.5-flash,0.0,Persian,984,898,532,91.26016260162602,54.0650406504065
gemini-2.5-flash,0.0,Portuguese,988,931,521,94.23076923076923,52.73279352226721
gemini-2.5-flash,0.0,Russian,992,872,526,87.90322580645162,53.0241935483871
gemini-2.5-flash,0.0,Spanish,992,918,526,92.54032258064517,53.0241935483871
gemini-2.5-flash,0.0,Tagalog,988,930,491,94.12955465587044,49.69635627530364
gemini-2.5-flash,0.0,Turkish,984,952,550,96.7479674796748,55.894308943089435
gemini-2.5-flash,0.0,Vietnamese,990,931,544,94.04040404040404,54.94949494949495
gemini-2.5-flash,0.2,Afrikaans,989,917,533,92.71991911021233,53.892821031344795
gemini-2.5-flash,0.2,Arabic,983,923,515,93.89623601220752,52.39064089521872
gemini-2.5-flash,0.2,Bulgarian,991,916,506,92.43188698284561,51.059535822401614
gemini-2.5-flash,0.2,Chinese,992,873,482,88.00403225806451,48.58870967741936
gemini-2.5-flash,0.2,Dutch,991,908,494,91.62462159434914,49.848637739656915
gemini-2.5-flash,0.2,English,998,884,465,88.57715430861724,46.59318637274549
gemini-2.5-flash,0.2,Estonian,992,919,541,92.64112903225806,54.53629032258065
gemini-2.5-flash,0.2,Finnish,992,913,515,92.03629032258065,51.91532258064516
gemini-2.5-flash,0.2,French,991,914,508,92.23007063572149,51.26135216952573
gemini-2.5-flash,0.2,German,986,917,480,93.00202839756592,48.6815415821501
gemini-2.5-flash,0.2,Greek,991,948,538,95.66094853683148,54.28859737638748
gemini-2.5-flash,0.2,Hebrew,992,911,538,91.83467741935483,54.233870967741936
gemini-2.5-flash,0.2,Hungarian,987,918,477,93.00911854103343,48.328267477203646
gemini-2.5-flash,0.2,Indonesian,989,920,518,93.02325581395348,52.37613751263903
gemini-2.5-flash,0.2,Italian,990,924,495,93.33333333333333,50.0
gemini-2.5-flash,0.2,Malay,989,917,495,92.71991911021233,50.05055611729019
gemini-2.5-flash,0.2,Persian,990,930,525,93.93939393939394,53.03030303030303
gemini-2.5-flash,0.2,Portuguese,989,927,523,93.73104145601617,52.88169868554095
gemini-2.5-flash,0.2,Russian,990,886,468,89.4949494949495,47.27272727272727
gemini-2.5-flash,0.2,Spanish,991,894,543,90.21190716448032,54.79313824419778
gemini-2.5-flash,0.2,Tagalog,989,925,515,93.52881698685542,52.07280080889788
gemini-2.5-flash,0.2,Turkish,987,934,543,94.63019250253294,55.01519756838906
gemini-2.5-flash,0.2,Vietnamese,987,906,531,91.7933130699088,53.799392097264445
gemini-2.5-flash,0.4,Afrikaans,989,908,524,91.80990899898887,52.98281092012134
gemini-2.5-flash,0.4,Arabic,985,919,507,93.29949238578679,51.47208121827411
gemini-2.5-flash,0.4,Bulgarian,990,911,493,92.02020202020202,49.7979797979798
gemini-2.5-flash,0.4,Chinese,990,858,471,86.66666666666667,47.57575757575758
gemini-2.5-flash,0.4,Dutch,989,899,487,90.89989888776542,49.24165824064712
gemini-2.5-flash,0.4,English,998,865,460,86.67334669338678,46.09218436873748
gemini-2.5-flash,0.4,Estonian,989,904,518,91.40546006066734,52.37613751263903
gemini-2.5-flash,0.4,Finnish,991,912,508,92.02825428859738,51.26135216952573
gemini-2.5-flash,0.4,French,990,900,487,90.9090909090909,49.19191919191919
gemini-2.5-flash,0.4,German,985,903,476,91.67512690355329,48.3248730964467
gemini-2.5-flash,0.4,Greek,992,940,536,94.75806451612904,54.03225806451613
gemini-2.5-flash,0.4,Hebrew,991,896,512,90.41372351160445,51.66498486377397
gemini-2.5-flash,0.4,Hungarian,988,916,478,92.71255060728745,48.38056680161944
gemini-2.5-flash,0.4,Indonesian,989,921,489,93.12436804853387,49.44388270980789
gemini-2.5-flash,0.4,Italian,992,916,482,92.33870967741935,48.58870967741936
gemini-2.5-flash,0.4,Malay,985,906,489,91.97969543147208,49.64467005076142
gemini-2.5-flash,0.4,Persian,988,910,508,92.10526315789474,51.417004048582996
gemini-2.5-flash,0.4,Portuguese,991,916,545,92.43188698284561,54.9949545913219
gemini-2.5-flash,0.4,Russian,991,885,466,89.3037336024218,47.023208879919274
gemini-2.5-flash,0.4,Spanish,991,880,526,88.7991927346115,53.07769929364279
gemini-2.5-flash,0.4,Tagalog,990,912,502,92.12121212121212,50.70707070707071
gemini-2.5-flash,0.4,Turkish,990,917,539,92.62626262626263,54.44444444444444
gemini-2.5-flash,0.4,Vietnamese,987,902,535,91.38804457953394,54.20466058763931
gemini-2.5-flash,0.6,Afrikaans,989,892,516,90.19211324570273,52.17391304347826
gemini-2.5-flash,0.6,Arabic,986,898,510,91.07505070993915,51.724137931034484
gemini-2.5-flash,0.6,Bulgarian,989,910,510,92.01213346814964,51.56723963599595
gemini-2.5-flash,0.6,Chinese,990,845,473,85.35353535353535,47.77777777777778
gemini-2.5-flash,0.6,Dutch,990,896,464,90.5050505050505,46.86868686868687
gemini-2.5-flash,0.6,English,998,860,470,86.17234468937876,47.09418837675351
gemini-2.5-flash,0.6,Estonian,988,889,526,89.97975708502024,53.23886639676113
gemini-2.5-flash,0.6,Finnish,992,883,539,89.01209677419355,54.33467741935484
gemini-2.5-flash,0.6,French,992,888,459,89.51612903225806,46.270161290322584
gemini-2.5-flash,0.6,German,991,906,491,91.42280524722503,49.54591321897074
gemini-2.5-flash,0.6,Greek,991,932,523,94.04641775983855,52.774974772956604
gemini-2.5-flash,0.6,Hebrew,989,904,544,91.40546006066734,55.00505561172901
gemini-2.5-flash,0.6,Hungarian,986,899,476,91.17647058823529,48.275862068965516
gemini-2.5-flash,0.6,Indonesian,990,897,489,90.6060606060606,49.3939393939394
gemini-2.5-flash,0.6,Italian,990,907,456,91.61616161616162,46.06060606060606
gemini-2.5-flash,0.6,Malay,990,892,482,90.1010101010101,48.68686868686869
gemini-2.5-flash,0.6,Persian,991,918,538,92.63370332996973,54.28859737638748
gemini-2.5-flash,0.6,Portuguese,989,909,517,91.91102123356926,52.27502527805864
gemini-2.5-flash,0.6,Russian,992,876,463,88.30645161290323,46.67338709677419
gemini-2.5-flash,0.6,Spanish,990,872,538,88.08080808080808,54.34343434343434
gemini-2.5-flash,0.6,Tagalog,990,899,505,90.8080808080808,51.010101010101
gemini-2.5-flash,0.6,Turkish,986,907,521,91.98782961460446,52.83975659229208
gemini-2.5-flash,0.6,Vietnamese,989,887,531,89.68655207280081,53.69059656218403
gemini-2.5-flash,0.8,Afrikaans,989,871,499,88.06875631951466,50.45500505561172
gemini-2.5-flash,0.8,Arabic,991,903,498,91.12008072653886,50.252270433905146
gemini-2.5-flash,0.8,Bulgarian,989,898,474,90.79878665318503,47.92719919110212
gemini-2.5-flash,0.8,Chinese,991,855,474,86.27648839556004,47.83047426841574
gemini-2.5-flash,0.8,Dutch,987,889,461,90.0709219858156,46.707193515704155
gemini-2.5-flash,0.8,English,1000,858,459,85.8,45.9
gemini-2.5-flash,0.8,Estonian,989,885,533,89.48432760364004,53.892821031344795
gemini-2.5-flash,0.8,Finnish,990,884,515,89.29292929292929,52.02020202020202
gemini-2.5-flash,0.8,French,991,877,481,88.49646821392533,48.53683148335015
gemini-2.5-flash,0.8,German,987,882,449,89.36170212765957,45.49138804457954
gemini-2.5-flash,0.8,Greek,989,919,521,92.92214357937311,52.679474216380186
gemini-2.5-flash,0.8,Hebrew,989,895,509,90.49544994944388,51.46612740141558
gemini-2.5-flash,0.8,Hungarian,988,891,466,90.18218623481782,47.16599190283401
gemini-2.5-flash,0.8,Indonesian,992,893,474,90.02016129032258,47.78225806451613
gemini-2.5-flash,0.8,Italian,989,904,458,91.40546006066734,46.30940343781597
gemini-2.5-flash,0.8,Malay,991,889,461,89.70736629667003,46.51866801210898
gemini-2.5-flash,0.8,Persian,989,899,498,90.89989888776542,50.353892821031344
gemini-2.5-flash,0.8,Portuguese,990,896,492,90.5050505050505,49.696969696969695
gemini-2.5-flash,0.8,Russian,991,868,460,87.5882946518668,46.41775983854692
gemini-2.5-flash,0.8,Spanish,991,872,524,87.99192734611503,52.87588294651867
gemini-2.5-flash,0.8,Tagalog,990,913,478,92.22222222222223,48.282828282828284
gemini-2.5-flash,0.8,Turkish,985,896,506,90.96446700507614,51.37055837563452
gemini-2.5-flash,0.8,Vietnamese,991,883,514,89.10191725529768,51.86680121089808
gemini-2.5-flash,1.0,Afrikaans,987,887,519,89.86828774062816,52.58358662613982
gemini-2.5-flash,1.0,Arabic,989,906,486,91.6076845298281,49.140546006066735
gemini-2.5-flash,1.0,Bulgarian,992,888,484,89.51612903225806,48.79032258064516
gemini-2.5-flash,1.0,Chinese,991,851,450,85.8728557013118,45.40867810292634
gemini-2.5-flash,1.0,Dutch,989,890,472,89.98988877654196,47.72497472194136
gemini-2.5-flash,1.0,English,999,845,469,84.58458458458459,46.94694694694695
gemini-2.5-flash,1.0,Estonian,990,879,507,88.7878787878788,51.21212121212121
gemini-2.5-flash,1.0,Finnish,992,869,515,87.6008064516129,51.91532258064516
gemini-2.5-flash,1.0,French,990,868,484,87.67676767676768,48.888888888888886
gemini-2.5-flash,1.0,German,991,887,445,89.50554994954591,44.904137235116046
gemini-2.5-flash,1.0,Greek,990,925,490,93.43434343434343,49.494949494949495
gemini-2.5-flash,1.0,Hebrew,991,892,528,90.0100908173562,53.2795156407669
gemini-2.5-flash,1.0,Hungarian,992,901,457,90.82661290322581,46.068548387096776
gemini-2.5-flash,1.0,Indonesian,991,883,481,89.10191725529768,48.53683148335015
gemini-2.5-flash,1.0,Italian,991,892,470,90.0100908173562,47.426841574167504
