Model,Temp,Language,Total,Compilable_before (%),Compilable_after (%)
gemini-2.5-flash,0.0,Afrikaans,800,1.0,74.875
gemini-2.5-flash,0.0,Arabic,800,3.75,77.0
gemini-2.5-flash,0.0,Bulgarian,800,2.0,76.25
gemini-2.5-flash,0.0,Chinese,800,2.375,78.375
gemini-2.5-flash,0.0,Dutch,800,1.5,73.625
gemini-2.5-flash,0.0,English,800,1.375,77.0
gemini-2.5-flash,0.0,Estonian,800,2.625,74.5
gemini-2.5-flash,0.0,Finnish,800,2.0,76.5
gemini-2.5-flash,0.0,French,800,1.375,75.125
gemini-2.5-flash,0.0,German,800,2.0,79.5
gemini-2.5-flash,0.0,Greek,800,1.0,71.75
gemini-2.5-flash,0.0,Hebrew,800,1.125,70.25
gemini-2.5-flash,0.0,Hungarian,800,2.0,77.25
gemini-2.5-flash,0.0,Indonesian,800,2.0,76.375
gemini-2.5-flash,0.0,Italian,800,2.0,80.375
gemini-2.5-flash,0.0,Malay,800,2.0,78.5
gemini-2.5-flash,0.0,Persian,800,1.625,80.0
gemini-2.5-flash,0.0,Portuguese,800,2.0,76.625
gemini-2.5-flash,0.0,Russian,800,1.0,75.125
gemini-2.5-flash,0.0,Spanish,800,1.0,75.5
gemini-2.5-flash,0.0,Tagalog,800,2.0,73.125
gemini-2.5-flash,0.0,Turkish,800,1.0,71.5
gemini-2.5-flash,0.0,Vietnamese,800,2.5,72.625
gemini-2.5-flash,0.2,Afrikaans,800,1.625,78.0
gemini-2.5-flash,0.2,Arabic,800,3.125,77.125
gemini-2.5-flash,0.2,Bulgarian,800,1.375,76.375
gemini-2.5-flash,0.2,Chinese,800,2.125,74.0
gemini-2.5-flash,0.2,Dutch,800,2.75,77.125
gemini-2.5-flash,0.2,English,800,1.625,76.875
gemini-2.5-flash,0.2,Estonian,800,2.375,75.75
gemini-2.5-flash,0.2,Finnish,800,2.375,75.125
gemini-2.5-flash,0.2,French,800,2.125,75.375
gemini-2.5-flash,0.2,German,800,2.0,79.0
gemini-2.5-flash,0.2,Greek,800,0.8750000000000001,73.5
gemini-2.5-flash,0.2,Hebrew,800,2.125,74.0
gemini-2.5-flash,0.2,Hungarian,800,1.7500000000000002,76.125
gemini-2.5-flash,0.2,Indonesian,800,2.125,76.75
gemini-2.5-flash,0.2,Italian,800,2.25,77.25
gemini-2.5-flash,0.2,Malay,800,2.5,76.375
gemini-2.5-flash,0.2,Persian,800,2.375,75.625
gemini-2.5-flash,0.2,Portuguese,800,2.5,76.375
gemini-2.5-flash,0.2,Russian,800,1.0,75.375
gemini-2.5-flash,0.2,Spanish,800,2.125,76.625
gemini-2.5-flash,0.2,Tagalog,800,1.875,74.5
gemini-2.5-flash,0.2,Turkish,800,1.375,78.125
gemini-2.5-flash,0.2,Vietnamese,800,1.625,74.875
gemini-2.5-flash,0.4,Afrikaans,800,1.7500000000000002,77.375
gemini-2.5-flash,0.4,Arabic,800,3.0,74.25
gemini-2.5-flash,0.4,Bulgarian,800,1.625,75.0
gemini-2.5-flash,0.4,Chinese,800,1.7500000000000002,73.875
gemini-2.5-flash,0.4,Dutch,800,2.75,77.375
gemini-2.5-flash,0.4,English,800,1.25,77.875
gemini-2.5-flash,0.4,Estonian,800,2.75,73.125
gemini-2.5-flash,0.4,Finnish,800,2.5,75.125
gemini-2.5-flash,0.4,French,800,2.375,75.25
gemini-2.5-flash,0.4,German,800,2.0,76.75
gemini-2.5-flash,0.4,Greek,800,1.5,73.375
gemini-2.5-flash,0.4,Hebrew,800,1.875,75.75
gemini-2.5-flash,0.4,Hungarian,800,1.625,75.5
gemini-2.5-flash,0.4,Indonesian,800,2.25,77.375
gemini-2.5-flash,0.4,Italian,800,2.625,75.5
gemini-2.5-flash,0.4,Malay,800,1.875,75.75
gemini-2.5-flash,0.4,Persian,800,2.375,76.5
gemini-2.5-flash,0.4,Portuguese,800,2.25,75.0
gemini-2.5-flash,0.4,Russian,800,1.125,74.75
gemini-2.5-flash,0.4,Spanish,800,2.625,74.75
gemini-2.5-flash,0.4,Tagalog,800,1.375,73.375
gemini-2.5-flash,0.4,Turkish,800,1.125,76.375
gemini-2.5-flash,0.4,Vietnamese,800,2.0,76.75
gemini-2.5-flash,0.6,Afrikaans,800,1.375,74.0
gemini-2.5-flash,0.6,Arabic,800,3.125,75.375
gemini-2.5-flash,0.6,Bulgarian,800,1.7500000000000002,73.75
gemini-2.5-flash,0.6,Chinese,800,1.625,75.0
gemini-2.5-flash,0.6,Dutch,800,2.25,74.5
gemini-2.5-flash,0.6,English,800,1.625,75.875
gemini-2.5-flash,0.6,Estonian,800,2.25,73.75
gemini-2.5-flash,0.6,Finnish,800,3.25,74.375
gemini-2.5-flash,0.6,French,800,3.125,74.625
gemini-2.5-flash,0.6,German,800,1.7500000000000002,76.25
gemini-2.5-flash,0.6,Greek,800,1.375,74.875
gemini-2.5-flash,0.6,Hebrew,800,1.7500000000000002,73.375
gemini-2.5-flash,0.6,Hungarian,800,1.875,73.5
gemini-2.5-flash,0.6,Indonesian,800,2.5,76.125
gemini-2.5-flash,0.6,Italian,800,3.0,74.5
gemini-2.5-flash,0.6,Malay,800,2.875,74.125
gemini-2.5-flash,0.6,Persian,800,2.375,74.75
gemini-2.5-flash,0.6,Portuguese,800,2.875,74.25
gemini-2.5-flash,0.6,Russian,800,1.25,74.5
gemini-2.5-flash,0.6,Spanish,800,2.25,76.625
gemini-2.5-flash,0.6,Tagalog,800,1.7500000000000002,73.25
gemini-2.5-flash,0.6,Turkish,800,1.0,76.25
gemini-2.5-flash,0.6,Vietnamese,800,2.0,77.125
gemini-2.5-flash,0.8,Afrikaans,800,1.7500000000000002,75.75
gemini-2.5-flash,0.8,Arabic,800,2.5,75.125
gemini-2.5-flash,0.8,Bulgarian,800,1.875,75.5
gemini-2.5-flash,0.8,Chinese,800,2.25,76.625
gemini-2.5-flash,0.8,Dutch,800,2.75,75.75
gemini-2.5-flash,0.8,English,800,1.5,76.75
gemini-2.5-flash,0.8,Estonian,800,2.125,72.0
gemini-2.5-flash,0.8,Finnish,800,2.5,73.375
gemini-2.5-flash,0.8,French,800,2.375,76.875
gemini-2.5-flash,0.8,German,800,1.625,75.875
gemini-2.5-flash,0.8,Greek,800,0.625,73.375
gemini-2.5-flash,0.8,Hebrew,800,2.375,73.625
gemini-2.5-flash,0.8,Hungarian,800,1.375,73.25
gemini-2.5-flash,0.8,Indonesian,800,2.25,73.625
gemini-2.5-flash,0.8,Italian,800,2.875,77.875
gemini-2.5-flash,0.8,Malay,800,2.75,71.25
gemini-2.5-flash,0.8,Persian,800,2.375,73.5
gemini-2.5-flash,0.8,Portuguese,800,3.0,73.875
gemini-2.5-flash,0.8,Russian,800,2.75,73.625
gemini-2.5-flash,0.8,Spanish,800,3.0,73.75
gemini-2.5-flash,0.8,Tagalog,800,1.7500000000000002,75.0
gemini-2.5-flash,0.8,Turkish,800,1.25,76.75
gemini-2.5-flash,0.8,Vietnamese,800,2.375,77.375
gemini-2.5-flash,1.0,Afrikaans,800,1.625,72.875
gemini-2.5-flash,1.0,Arabic,800,2.875,73.5
gemini-2.5-flash,1.0,Bulgarian,800,2.375,73.125
gemini-2.5-flash,1.0,Chinese,800,3.0,74.25
gemini-2.5-flash,1.0,Dutch,800,3.375,76.75
gemini-2.5-flash,1.0,English,800,1.7500000000000002,78.625
gemini-2.5-flash,1.0,Estonian,800,3.0,72.0
gemini-2.5-flash,1.0,Finnish,800,2.25,73.625
gemini-2.5-flash,1.0,French,800,2.875,74.25
gemini-2.5-flash,1.0,German,800,2.375,76.875
gemini-2.5-flash,1.0,Greek,800,1.7500000000000002,72.5
gemini-2.5-flash,1.0,Hebrew,800,2.0,71.125
gemini-2.5-flash,1.0,Hungarian,800,2.25,72.0
gemini-2.5-flash,1.0,Indonesian,800,2.625,74.5
gemini-2.5-flash,1.0,Italian,800,3.875,74.875
gemini-2.5-flash,1.0,Malay,800,3.25,73.875
gemini-2.5-flash,1.0,Persian,800,2.875,76.5
gemini-2.5-flash,1.0,Portuguese,800,2.5,74.125
gemini-2.5-flash,1.0,Russian,800,2.25,74.125
gemini-2.5-flash,1.0,Spanish,800,2.875,73.625
gemini-2.5-flash,1.0,Tagalog,800,1.5,74.75
gemini-2.5-flash,1.0,Turkish,800,2.5,76.875
gemini-2.5-flash,1.0,Vietnamese,800,2.25,73.125
gpt-4o-mini,0.0,Afrikaans,1000,0.0,89.9
gpt-4o-mini,0.0,Arabic,1000,0.0,91.10000000000001
gpt-4o-mini,0.0,Bulgarian,1000,0.0,89.0
gpt-4o-mini,0.0,Chinese,1000,0.0,92.9
gpt-4o-mini,0.0,Dutch,1000,0.0,93.0
gpt-4o-mini,0.0,English,1000,0.0,96.0
gpt-4o-mini,0.0,Estonian,1000,0.0,96.0
gpt-4o-mini,0.0,Finnish,1000,0.0,94.0
gpt-4o-mini,0.0,French,1000,0.0,95.0
gpt-4o-mini,0.0,German,1000,0.0,93.10000000000001
gpt-4o-mini,0.0,Greek,1000,0.0,90.10000000000001
gpt-4o-mini,0.0,Hebrew,1000,0.0,94.0
gpt-4o-mini,0.0,Hungarian,1000,0.0,89.0
gpt-4o-mini,0.0,Indonesian,1000,0.0,93.0
gpt-4o-mini,0.0,Italian,1000,0.0,95.8
gpt-4o-mini,0.0,Malay,1000,0.0,94.89999999999999
gpt-4o-mini,0.0,Persian,1000,0.0,85.1
gpt-4o-mini,0.0,Portuguese,1000,0.0,92.2
gpt-4o-mini,0.0,Russian,1000,0.0,91.0
gpt-4o-mini,0.0,Spanish,1000,0.0,95.1
gpt-4o-mini,0.0,Tagalog,1000,0.0,90.0
gpt-4o-mini,0.0,Turkish,1000,0.0,91.10000000000001
gpt-4o-mini,0.0,Vietnamese,1000,0.0,94.0
gpt-4o-mini,0.2,Afrikaans,1000,0.0,88.7
gpt-4o-mini,0.2,Arabic,1000,0.0,90.8
gpt-4o-mini,0.2,Bulgarian,1000,0.0,88.9
gpt-4o-mini,0.2,Chinese,1000,0.0,92.9
gpt-4o-mini,0.2,Dutch,1000,0.0,93.0
gpt-4o-mini,0.2,English,1000,0.0,96.3
gpt-4o-mini,0.2,Estonian,1000,0.0,95.3
gpt-4o-mini,0.2,Finnish,1000,0.0,94.19999999999999
gpt-4o-mini,0.2,French,1000,0.0,94.3
gpt-4o-mini,0.2,German,1000,0.0,91.9
gpt-4o-mini,0.2,Greek,1000,0.0,89.2
gpt-4o-mini,0.2,Hebrew,1000,0.0,93.60000000000001
gpt-4o-mini,0.2,Hungarian,1000,0.0,88.3
gpt-4o-mini,0.2,Indonesian,1000,0.0,92.5
gpt-4o-mini,0.2,Italian,1000,0.0,94.5
gpt-4o-mini,0.2,Malay,1000,0.0,93.4
