Model,Dataset,Unique CWE,Vulnerable Prompts
bigcode_starcoder,0.8,24,50
gpt-4,1.0,23,52
Salesforce_codegen25-7b-mono,0.8,25,61
gpt-3.5-turbo,1.0,25,57
Salesforce_codegen-2B-mono,0.8,25,59
gpt-4,0.2,22,48
gpt-3.5-turbo,0.0,23,51
gpt-3.5-turbo,0.2,23,51
gpt-4,0.0,23,48
gpt-4,0.4,23,49
gpt-3.5-turbo,0.6,23,53
gpt-3.5-turbo,0.4,23,53
gpt-4,0.6,23,48
gpt-3.5-turbo,0.8,24,55
Salesforce_codegen25-7b-mono,1.0,26,65
gpt-4,0.8,23,49
bigcode_starcoder,1.0,25,50
Salesforce_codegen-2B-mono,1.0,22,56
Salesforce_codegen25-7b-mono,0.2,24,53
Salesforce_codegen-2B-mono,0.4,23,58
bigcode_starcoder,0.2,19,33
Salesforce_codegen-2B-mono,0.6,23,57
Salesforce_codegen25-7b-mono,0.4,24,54
Salesforce_codegen-2B-mono,0.2,21,50
bigcode_starcoder,0.6,23,48
bigcode_starcoder,0.4,22,43
Salesforce_codegen-2B-mono,0.0,18,38
Salesforce_codegen25-7b-mono,0.6,27,62
